id,name,role,profession,family,p_index,year
64,[ARAD₂]-mu,"['', '']",maškim[administrator],"['', '']","['116192', '200532']","['64.0101', '75.0000']"
65,[a-a-kal-la,"['', '']",maškim[administrator],"['', '']","['116195', '116195']","['70.1001', '70.1001']"
66,[a]-hu-ni,"['', '']",,"['', '']","['123301', '124467']","['', '63.0900']"
67,[ab]-ba-sa₆-ga,"[""['recipient']"", '']",,"['', '']","['113160', '106078']","['71.0129', '72.1125']"
68,[a₂-ge₆]-ba-a,"['', '']",,"['', '']","['106378', '117295']","['79.1205', '86.0328']"
69,[a₂]-bi₂-la-tum,"[""['source']"", ""['recipient']""]",,"['', '']","['123653', '129417']","['18.1129', '60.0221']"
70,[a₂]-ge₆-ba-a,"['', '', '', '', '']",,"['', '', '', '', '']","['106387', '106376', '128193', '101016', '201447']","['', '80.0317', '81.0127', '81.1207', '84.1017']"
71,[be-li₂-du₁₀],"['', '']",,"['', '']","['123517', '123645']","['52.0400', '54.0600']"
72,[be]-li₂-a-ri₂-ik,"['', '']",,"['', '']","['126313', '122816']","['', '60.1200']"
73,[giri₃]-lugal-iti-da,"['', '']",,"['', '']","['125968', '124319']","['67.0100', '71.1100']"
74,[i-di₃-er₃-ra],"['', '', '']",,"['', '', '']","['118409', '332387', '106068']","['78.0729', '83.0828', '86.0901']"
75,[i-di₃]-er₃-[ra],"['', '']",,"['', '']","['126397', '106411']","['', '86.1217']"
76,[i]-mi-id-dingir,"['', '']",,"['', '']","['123231', '117586']","['62.0419', '63.0804']"
77,[igi-kar₂],"['', '', '']",,"['', '', '']","['124603', '124603', '124603']","['', '', '']"
78,[in-ta-e₃-a],"['', '', '']",,"['', '', '']","['123895', '126533', '218203']","['70.1001', '75.1208', '80.1200']"
79,[in-ta]-e₃-a,"['', '', '', '']",,"['', '', '', '']","['113325', '102865', '107919', '118477']","['68.0000', '72.0803', '76.0421', '86.0400']"
80,[in]-ta#-e₃-a,"[""['recipient']"", ""['recipient']""]",,"['', '']","['128586', '126708']","['71.0504', '82.0624']"
81,[in]-ta-e₃-a-ta,"[""['source']"", ""['source']"", ""['source']""]",,"['', '', '']","['125776', '109645', '106244']","['70.0809', '70.1125', '76.0607']"
82,[in]-ta-e₃-a,"['', ""['recipient']"", '', ""['recipient']"", ""['recipient']"", ""['recipient']""]",,"['', '', '', '', '', '']","['126624', '128640', '104420', '113898', '117594', '118448']","['69.0900', '71.0504', '75.0913', '76.0906', '79.0604', '82.0706']"
83,[ki]-{d}suen,"['', '']",,"['', '']","['114333', '391001']","['71.0705', '74.0730']"
