name,role,profession,family,p index,year
ARADâ‚‚-mu,,,,107624,
ARADâ‚‚-mu,,,,107804,
ARADâ‚‚-mu,['representative'],,,108030,
ARADâ‚‚-mu,,,,113624,
ARADâ‚‚-mu,['representative'],,,113944,
ARADâ‚‚-mu,['representative'],,,115610,
ARADâ‚‚-mu,['representative'],,,115610,
ARADâ‚‚-mu,['representative'],,,115610,
ARADâ‚‚-mu,['representative'],,,115610,
ARADâ‚‚-mu,['representative'],,,117266,
ARADâ‚‚-mu,,,,122206,
ARADâ‚‚-mu,,,,123422,
ARADâ‚‚-mu,,,,123489,
ARADâ‚‚-mu,,ensik[ruler],,125621,
ARADâ‚‚-mu,['representative'],,,125827,
ARADâ‚‚-mu,,,,125958,
ARADâ‚‚-mu,,,,126272,
ARADâ‚‚-mu,,,,126313,
ARADâ‚‚-mu,,sukkalmah[official],,126313,
ARADâ‚‚-mu,,,,126368,
ARADâ‚‚-mu,,,,128619,
ARADâ‚‚-mu,,,,128940,
ARADâ‚‚-mu,['representative'],,,129491,
ARADâ‚‚-mu,['representative'],,,129491,
ARADâ‚‚-mu,['representative'],,,129491,
ARADâ‚‚-mu,['representative'],,,129491,
ARADâ‚‚-mu,['representative'],,,129491,
ARADâ‚‚-mu,['representative'],,,129491,
ARADâ‚‚-mu,['representative'],,,129491,
ARADâ‚‚-mu,,maÅ¡kim[administrator],,129491,
ARADâ‚‚-mu,['representative'],,,129491,
ARADâ‚‚-mu,['representative'],,,129491,
ARADâ‚‚-mu,['representative'],,,129491,
ARADâ‚‚-mu,,,,133838,
ARADâ‚‚-mu,['representative'],,,134066,
ARADâ‚‚-mu,,,,134698,
ARADâ‚‚-mu,['representative'],,,135107,
ARADâ‚‚-mu,['representative'],,,135134,
ARADâ‚‚-mu,,gala[singer],,136105,
ARADâ‚‚-mu,,,,136225,
ARADâ‚‚-mu,,,,136225,
ARADâ‚‚-mu,['representative'],,,142417,
ARADâ‚‚-mu,['recipient'],ensik[ruler],,235054,
